,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,apache-pyiceberg,Java
5,archaius,Java
6,asgard,Groovy
7,astyanax,Java
8,atlas,Scala
9,atlas-docs,Python
10,aws-autoscaling,Shell
11,awsobjectmapper,Groovy
12,batch_request_api,Ruby
13,batch_request_client,Ruby
14,bbparse,C
15,bettertls,Go
16,blesk,JavaScript
17,bless,Python
18,blitz4j,Java
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,Cloud-Prize,
24,codec_compare,Python
25,concurrency-limits,Java
26,conductor,Java
27,conductor-community,Java
28,conductor-docs,Python
29,conductor-ui,JavaScript
30,consoleme,Python
31,curator,Java
32,denominator,Java
33,derand,Java
34,dgs,HTML
35,dgs-codegen,Kotlin
36,dgs-examples-java,Java
37,dgs-examples-java-2.7,Java
38,dgs-examples-java.latest,Java
39,dgs-examples-java16,Java
40,dgs-examples-kotlin,Kotlin
41,dgs-examples-kotlin-2.7,Kotlin
42,dgs-examples-webflux,Java
43,dgs-federation-example,Kotlin
44,dgs-framework,Kotlin
45,dgs-intellij-plugin,Kotlin
46,dial-reference,C
47,dispatch,Python
48,dispatch-docker,Shell
49,dyno,Java
50,dyno-queues,Java
51,dynomite,C
52,dynomite-manager,Java
53,eclipse-jifa,Java
54,eclipse-mat,
55,edda,Scala
56,edda-client,Java
57,element-server,JavaScript
58,ember-batch-request,JavaScript
59,ember-nf-graph,JavaScript
60,ember-nf-graph-examples,JavaScript
61,eslint-config-netflix,JavaScript
62,eslint-config-netflix-dea,JavaScript
63,eureka,Java
64,eureka-ui,JavaScript
65,EVCache,Java
66,fabricator,Java
67,falcor,JavaScript
68,falcor-datasource-chainer,JavaScript
69,falcor-express,JavaScript
70,falcor-express-demo,HTML
71,falcor-hapi,JavaScript
72,falcor-hapi-demo,HTML
73,falcor-http-datasource,JavaScript
74,falcor-json-graph,JavaScript
75,falcor-observable,JavaScript
76,falcor-path-syntax,JavaScript
77,falcor-path-utils,JavaScript
78,falcor-restify,JavaScript
79,falcor-restify-demo,HTML
80,falcor-router,JavaScript
81,falcor-router-demo,JavaScript
82,fast_jsonapi,Ruby
83,Fenzo,Java
84,Fido,C#
85,flamescope,Python
86,frigga,Java
87,genie,Java
88,glisten,Groovy
89,go-env,Go
90,go-expect,Go
91,go-iomux,Go
92,governator,Java
93,gradle-template,Java
94,hal-9001,Go
95,hollow,Java
96,hollow-reference-implementation,Java
97,hubcommander,Python
98,Hystrix,Java
99,iceberg,Java
100,iep,Java
101,iep-shadow,
102,image_compression_comparison,Python
103,inviso,JavaScript
104,karyon,Java
105,lemur,Python
106,lemur-docker,Python
107,Lipstick,JavaScript
108,mantis,Java
109,mantis-api,Java
110,mantis-cli,JavaScript
111,mantis-connectors,Java
112,mantis-control-plane,Java
113,mantis-examples,Java
114,mantis-gradle-plugin,Groovy
115,mantis-helm,
116,mantis-mql,Clojure
117,mantis-rxcontrol,Java
118,mantis-rxnetty,
119,mantis-source-jobs,Java
120,mantis-ui,TypeScript
121,matchcut,Jupyter Notebook
122,metacat,Java
123,metaflow,Python
124,metaflow-docs,JavaScript
125,metaflow-extensions-template,Python
126,metaflow-nflx-extensions,Python
127,metaflow-service,Python
128,metaflow-tools,HCL
129,metaflow-ui,TypeScript
130,metrics-client-go,Go
131,msl,C++
132,ndbench,HTML
133,nerror,JavaScript
134,netflix-commons,Java
135,netflix-graph,Java
136,netflix.github.com,HTML
137,netflixoss-npm-build-infrastructure,
138,nf-data-explorer,TypeScript
139,nflx-geofeed,
140,nflxprofile,Python
141,NfWebCrypto,C++
142,Nicobar,Java
143,ocelli,Java
144,octodns,
145,octodns-ns1,Python
146,octodns-ultra,Python
147,osstracker,Scala
148,p2plab,Go
149,photon,Java
150,PigPen,Clojure
151,pollyjs,JavaScript
152,polynote,HTML
153,Prana,Java
154,Priam,Java
155,probnik,TypeScript
156,pygenie,Python
157,pytheas,JavaScript
158,q,Java
159,Raigad,Java
160,ReactiveLab,Java
161,reactivesocket-examples,Java
162,read_bbrlog,C
163,recipes-rss,Java
164,rend,Go
165,rend-http,Go
166,rend-lmdb,Go
167,repokid,Python
168,restful-jsonapi,Ruby
169,ribbon,Java
170,runtime-health,Java
171,rx-aws-java-sdk,Java
172,s3mper,Java
173,security-bulletins,
174,security_monkey,Python
175,servo,Java
176,sherlock,R
177,signal-wrapper,Go
178,SimianArmy,Java
179,sleepy-puppy-docker,Dockerfile
180,spark,Scala
181,spectator,Java
182,spectator-cpp,C++
183,spectator-go,Go
184,spectator-js,JavaScript
185,spectator-py,Python
186,spectator-rb,Ruby
187,staash,Java
188,sureal,Python
189,suro,Java
190,Surus,Java
191,taskintrospection,C
192,tcplog_dumper,C
193,techreports,
194,titus,
195,titus-api-definitions,Makefile
196,titus-control-plane,Java
197,titus-controllers-api,Go
198,titus-executor,Go
199,titus-kube-common,Go
200,titus-resource-pool,Go
201,tslint-config-netflix,JavaScript
202,Turbine,Java
203,unleash,JavaScript
204,user2020-metaflow-tutorial,R
205,vector,JavaScript
206,vectorflow,D
207,virtual-kubelet,
208,vizceral,JavaScript
209,vizceral-component,JavaScript
210,vizceral-example,JavaScript
211,vizceral-react,JavaScript
212,vmaf,Python
213,vmaf_resource,
214,vp9-dash,
215,webpack-parse-query,JavaScript
216,weep,Go
217,Workflowable,Ruby
218,x-element,JavaScript
219,x-test,JavaScript
220,yetch,JavaScript
221,zeno,Java
222,zuul,Java
